"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2017","8,091.00","8,072.45","8,155.95","8,072.45","","0.23%"
"09/19/2017","8,072.45","8,094.90","8,097.00","8,072.45","","-0.28%"
"09/18/2017","8,094.90","8,094.80","8,101.05","8,086.95","","0.00%"
"09/17/2017","8,094.80","8,094.80","8,094.80","8,094.80","","-0.06%"
"09/15/2017","8,100.00","8,081.45","8,101.00","8,078.85","","0.23%"
"09/14/2017","8,081.45","8,158.35","8,158.35","8,081.45","","-0.94%"
"09/13/2017","8,158.35","8,075.35","8,158.35","8,068.55","","1.03%"
"09/12/2017","8,075.35","8,135.60","8,135.60","8,075.35","","-0.74%"
"09/11/2017","8,135.60","8,123.15","8,135.60","8,095.00","","0.15%"
"09/10/2017","8,123.15","8,123.15","8,123.15","8,123.15","","0.21%"
"09/08/2017","8,106.00","8,076.45","8,106.00","8,071.80","","0.37%"
"09/07/2017","8,076.45","8,105.20","8,107.50","8,076.45","","-0.35%"
"09/06/2017","8,105.20","8,089.90","8,112.50","8,081.95","","0.19%"
"09/05/2017","8,089.90","4,214.35","8,200.00","4,214.35","","91.96%"
"09/04/2017","4,214.35","4,198.90","4,214.35","4,191.55","","0.37%"
"09/03/2017","4,198.90","4,198.90","4,198.90","4,198.90","","-0.17%"
"09/01/2017","4,206.00","4,161.10","4,206.00","4,161.10","","1.08%"
"08/31/2017","4,161.10","4,201.65","4,202.05","4,161.10","","-0.97%"
"08/30/2017","4,201.65","4,177.50","4,204.85","4,175.00","","0.58%"
"08/29/2017","4,177.50","4,168.40","4,206.05","4,168.40","","0.22%"
"08/28/2017","4,168.40","4,202.50","4,202.50","4,135.25","","-0.81%"
"08/27/2017","4,202.50","4,202.50","4,202.50","4,202.50","","0.00%"
"08/25/2017","4,202.50","4,179.75","4,205.00","4,179.75","","0.54%"
"08/24/2017","4,179.75","4,197.50","4,200.50","4,170.40","","-0.42%"
"08/23/2017","4,197.50","4,179.25","4,197.50","4,125.00","","0.44%"
"08/22/2017","4,179.25","4,134.55","4,181.00","4,134.55","","1.08%"
"08/21/2017","4,134.55","4,150.20","4,155.80","4,134.55","","-0.38%"
"08/20/2017","4,150.20","4,150.20","4,150.20","4,150.20","","-0.09%"
"08/18/2017","4,153.80","4,145.15","4,153.80","4,145.15","","0.21%"
"08/17/2017","4,145.15","4,129.55","4,156.60","4,128.90","","0.38%"
"08/16/2017","4,129.55","4,158.70","4,158.70","4,129.55","","-0.70%"
"08/15/2017","4,158.70","4,133.60","4,158.70","4,133.60","","0.61%"
"08/14/2017","4,133.60","4,104.50","4,133.60","4,103.10","","0.71%"
"08/13/2017","4,104.50","4,104.50","4,104.50","4,104.50","","-0.48%"
"08/11/2017","4,124.45","4,110.05","4,124.45","4,109.75","","0.35%"
"08/10/2017","4,110.05","4,118.65","4,127.15","4,110.05","","-0.21%"
"08/09/2017","4,118.65","4,119.65","4,126.05","4,118.65","","-0.02%"
"08/08/2017","4,119.65","4,099.35","4,135.00","4,097.50","","0.50%"
"08/07/2017","4,099.35","4,132.15","4,136.00","4,096.35","","-0.79%"
"08/06/2017","4,132.15","4,132.15","4,132.15","4,132.15","","0.54%"
"08/04/2017","4,110.00","4,085.65","4,113.00","4,082.90","","0.60%"
"08/03/2017","4,085.65","4,090.00","4,111.00","4,085.65","","-0.11%"
"08/02/2017","4,090.00","4,072.45","4,111.00","4,070.55","","0.43%"
"08/01/2017","4,072.45","4,095.00","4,110.00","4,039.60","","-0.55%"
"07/31/2017","4,095.00","4,055.50","4,095.00","4,055.50","","0.97%"
"07/30/2017","4,055.50","4,055.50","4,055.50","4,055.50","","-0.32%"
"07/28/2017","4,068.70","4,050.45","4,068.70","4,046.35","","0.45%"
"07/27/2017","4,050.45","4,086.00","4,086.00","4,012.45","","-0.87%"
"07/26/2017","4,086.00","4,043.55","4,086.00","4,041.70","","1.05%"
"07/25/2017","4,043.55","4,045.90","4,086.00","4,039.80","","-0.06%"
"07/24/2017","4,045.90","4,036.10","4,086.00","4,030.00","","0.24%"
"07/23/2017","4,036.10","4,036.10","4,036.10","4,036.10","","-0.34%"
"07/21/2017","4,050.00","3,997.80","4,052.00","3,997.80","","1.31%"
"07/20/2017","3,997.80","4,044.85","4,050.00","3,997.80","","-1.16%"
"07/19/2017","4,044.85","4,044.25","4,051.00","4,042.40","","0.01%"
"07/18/2017","4,044.25","4,008.60","4,052.00","4,008.60","","0.89%"
"07/17/2017","4,008.60","3,994.90","4,052.00","3,993.50","","0.34%"
"07/16/2017","3,994.90","3,994.90","3,994.90","3,994.90","","-0.87%"
"07/14/2017","4,030.00","4,010.10","4,030.00","4,008.90","","0.50%"
"07/13/2017","4,010.10","4,028.55","4,028.55","4,000.00","","-0.46%"
"07/12/2017","4,028.55","3,989.85","4,028.55","3,986.70","","0.97%"
"07/11/2017","3,989.85","3,984.40","4,013.75","3,984.40","","0.14%"
"07/10/2017","3,984.40","3,990.10","4,004.00","3,984.40","","-0.14%"
"07/09/2017","3,990.10","3,990.10","3,990.10","3,990.10","","0.07%"
"07/07/2017","3,987.50","3,990.00","3,990.00","3,967.75","","-0.06%"
"07/06/2017","3,990.00","3,946.95","4,000.00","3,946.95","","1.09%"
"07/05/2017","3,946.95","3,958.35","4,000.00","3,946.95","","-0.29%"
"07/04/2017","3,958.35","3,963.20","3,963.20","3,958.35","","-0.12%"
"07/03/2017","3,963.20","3,949.45","4,005.00","3,949.45","","0.35%"
"07/02/2017","3,949.45","3,949.45","3,949.45","3,949.45","","-0.39%"
"06/30/2017","3,965.00","3,946.90","3,970.00","3,946.90","","0.46%"
"06/29/2017","3,946.90","3,919.30","3,973.00","3,919.30","","0.70%"
"06/28/2017","3,919.30","3,976.00","3,976.00","3,904.95","","-1.43%"
"06/27/2017","3,976.00","3,928.60","3,976.00","3,928.60","","1.21%"
"06/26/2017","3,928.60","3,920.15","3,940.00","3,918.55","","0.22%"
"06/25/2017","3,920.15","3,919.25","3,920.15","3,919.25","","-0.42%"
"06/23/2017","3,936.50","3,935.65","3,940.00","3,929.55","","0.02%"
"06/22/2017","3,935.65","3,921.35","3,935.65","3,921.35","","0.36%"
"06/21/2017","3,921.35","3,936.75","3,940.00","3,921.35","","-0.39%"
"06/20/2017","3,936.75","3,924.40","3,940.00","3,924.40","","0.31%"
"06/19/2017","3,924.40","3,920.00","3,940.00","3,887.95","","0.11%"
"06/18/2017","3,920.00","3,920.00","3,920.00","3,920.00","","0.00%"
"06/16/2017","3,920.00","3,925.00","3,925.00","3,898.30","","-0.13%"
"06/15/2017","3,925.00","3,915.00","3,925.00","3,898.90","","0.26%"
"06/14/2017","3,915.00","3,902.15","3,916.00","3,902.15","","0.33%"
"06/13/2017","3,902.15","3,926.00","3,926.00","3,880.65","","-0.61%"
"06/12/2017","3,926.00","3,868.75","3,926.00","3,862.90","","1.48%"
"06/11/2017","3,868.75","3,868.75","3,868.75","3,868.75","","-0.29%"
"06/09/2017","3,880.00","3,913.45","3,916.85","3,874.70","","-0.85%"
"06/08/2017","3,913.45","3,856.50","3,913.45","3,856.50","","1.48%"
"06/07/2017","3,856.50","3,863.50","3,875.00","3,856.50","","-0.18%"
"06/06/2017","3,863.50","3,841.70","3,878.00","3,841.50","","0.57%"
"06/05/2017","3,841.70","3,824.40","3,889.00","3,824.40","","0.45%"
"06/04/2017","3,824.40","3,824.40","3,824.40","3,824.40","","-1.05%"
"06/02/2017","3,865.00","3,851.20","3,870.00","3,845.80","","0.36%"
"06/01/2017","3,851.20","3,836.50","3,851.20","3,836.50","","0.38%"
"05/31/2017","3,836.50","3,865.75","3,869.85","3,835.25","","-0.76%"
"05/30/2017","3,865.75","3,826.65","3,878.00","3,826.65","","1.02%"
"05/29/2017","3,826.65","3,834.10","3,836.30","3,819.45","","-0.19%"
"05/28/2017","3,834.10","3,834.10","3,834.10","3,834.10","","0.11%"
"05/26/2017","3,830.00","3,823.30","3,830.00","3,820.70","","0.19%"
"05/25/2017","3,822.60","3,811.30","3,826.00","3,807.00","","0.30%"
"05/24/2017","3,811.30","3,840.20","3,841.15","3,810.90","","-0.75%"
"05/23/2017","3,840.20","3,786.45","3,840.20","3,786.45","","1.42%"
"05/22/2017","3,786.45","3,770.15","3,835.00","3,770.15","","0.43%"
"05/21/2017","3,770.15","3,770.15","3,770.15","3,770.15","","-0.92%"
"05/19/2017","3,805.00","3,805.65","3,820.00","3,783.65","","-0.02%"
"05/18/2017","3,805.65","3,773.65","3,820.00","3,773.65","","0.85%"
"05/17/2017","3,773.65","3,775.05","3,810.00","3,773.65","","-0.04%"
"05/16/2017","3,775.05","3,762.60","3,810.00","3,761.55","","0.33%"
"05/15/2017","3,762.60","3,790.00","3,810.00","3,749.20","","-0.72%"
"05/14/2017","3,790.00","3,790.00","3,790.00","3,790.00","","0.00%"
"05/12/2017","3,790.00","3,769.10","3,790.00","3,767.40","","0.55%"
"05/11/2017","3,769.10","3,780.00","3,782.00","3,765.60","","-0.29%"
"05/10/2017","3,780.00","3,743.10","3,785.00","3,735.50","","0.99%"
"05/09/2017","3,743.10","3,744.35","3,750.00","3,733.20","","-0.03%"
"05/08/2017","3,744.35","3,721.25","3,750.00","37.35","","0.62%"
"05/07/2017","3,721.25","3,721.25","3,721.25","3,721.25","","-0.57%"
